Ticker,Sector,Industry,Beta,ATR,Avg Volume,Price
LINE,Real Estate,REIT - Industrial,-0.19,1.64,1.56M,35.13
LNC,Financial,Insurance - Life,1.26,1.34,2.12M,33.81
LQDA,Healthcare,Drug Manufacturers - Specialty & Generic,0.48,2.25,1.86M,36.41
LTH,Consumer Cyclical,Leisure,1.68,01.01,2.48M,25.86
LUNR,Industrials,Aerospace & Defense,1.33,1.88,11.27M,17.83
LUV,Industrials,Airlines,1.14,2.12,9.97M,39.41
LW,Consumer Defensive,Packaged Foods,0.49,1.49,2.81M,40.00
MDLN,Healthcare,Medical Instruments & Supplies,-,1.69,5.41M,42.73
MGM,Consumer Cyclical,Resorts & Casinos,1.36,1.60,4.77M,35.37
MIAX,Financial,Capital Markets,-,1.46,1.26M,39.10
MIR,Industrials,Specialty Industrial Machinery,01.07,1.12,3.11M,18.45
MOS,Basic Materials,Agricultural Inputs,0.95,1.67,8.03M,23.59
MTCH,Communication Services,Internet Content & Information,1.31,01.05,4.14M,31.06
MUR,Energy,Oil & Gas E&P,0.66,1.62,2.58M,38.73
MWH,Industrials,Infrastructure Operations,-,1.79,1.33M,27.78
NCLH,Consumer Cyclical,Travel Services,02.09,1.16,20.85M,18.95
NE,Energy,Oil & Gas Drilling,01.04,1.90,2.07M,46.71
NESR,Energy,Oil & Gas Equipment & Services,0.29,1.11,1.69M,20.64
NN,Technology,Software - Infrastructure,0.92,1.16,1.21M,17.95
NOG,Energy,Oil & Gas E&P,0.99,1.12,2.39M,28.84
NSA,Real Estate,REIT - Industrial,1.11,1.61,2.03M,37.12
NTNX,Technology,Software - Infrastructure,0.49,1.76,4.83M,39.48
NVST,Healthcare,Medical Instruments & Supplies,0.98,01.05,2.82M,24.89
OHI,Real Estate,REIT - Healthcare Facilities,0.55,01.05,1.92M,44.79
OII,Energy,Oil & Gas Equipment & Services,1.20,1.72,1.23M,34.96
OLN,Basic Materials,Chemicals,1.47,1.60,3.12M,23.77
ONDS,Technology,Communication Equipment,2.53,01.07,95.37M,10.06
OPCH,Healthcare,Medical Care Facilities,0.91,01.08,1.80M,28.16
OZK,Financial,Banks - Regional,0.94,1.31,1.29M,43.84
PACS,Healthcare,Medical Care Facilities,-0.22,1.81,1.02M,33.44
PBF,Energy,Oil & Gas Refining & Marketing,0.28,2.79,3.56M,49.32
PEGA,Technology,Software - Application,1.10,2.28,2.17M,43.42
PL,Industrials,Aerospace & Defense,1.88,2.71,11.80M,33.83
PLAB,Technology,Semiconductor Equipment & Materials,1.49,2.24,1.11M,36.34
PPLC,Utilities,Utilities - Regulated Electric,-,01.04,1.39M,49.82
PPTA,Basic Materials,Other Precious Metals & Mining,0.15,2.38,1.88M,24.99
PYPL,Financial,Credit Services,1.44,1.66,23.31M,44.01
QBTS,Technology,Computer Hardware,1.72,1.37,31.35M,15.73
QXO,Industrials,Industrial Distribution,2.47,1.21,7.84M,18.64
RAL,Technology,Electronic Components,-,2.00,1.82M,40.80
RBRK,Technology,Software - Infrastructure,0.53,2.95,3.77M,49.28
RCUS,Healthcare,Biotechnology,0.86,1.31,1.22M,21.64
REZI,Industrials,Industrial Distribution,1.71,1.64,1.27M,32.79
RGTI,Technology,Computer Hardware,1.78,1.26,30.66M,14.88
RHI,Industrials,Staffing & Employment Services,0.90,1.34,3.11M,23.29
RIOT,Financial,Capital Markets,3.54,1.17,18.45M,13.38
RNG,Technology,Software - Application,1.16,2.11,2.43M,37.63
RRC,Energy,Oil & Gas E&P,0.53,1.55,3.28M,44.47
RUN,Technology,Solar,2.41,1.22,9.41M,12.22
RXO,Industrials,Trucking,1.61,01.05,2.44M,13.23
RYAN,Financial,Insurance - Specialty,0.69,1.60,2.00M,34.68
SARO,Industrials,Aerospace & Defense,1.31,1.10,4.22M,25.60
SHOO,Consumer Cyclical,Footwear & Accessories,1.16,1.69,1.46M,31.83
SLB,Energy,Oil & Gas Equipment & Services,0.73,1.81,18.79M,46.63
SLG,Real Estate,REIT - Office,1.59,02.07,1.32M,37.48
SM,Energy,Oil & Gas E&P,0.89,1.25,6.47M,30.04
SMCI,Technology,Computer Hardware,1.50,2.30,29.41M,20.53
SNDX,Healthcare,Biotechnology,0.41,1.11,1.29M,24.23
SOC,Energy,Oil & Gas Drilling,-0.04,1.71,8.15M,16.28
SOFI,Financial,Credit Services,2.23,01.01,60.64M,16.90
SRRK,Healthcare,Biotechnology,0.74,2.61,1.10M,44.64
SSRM,Basic Materials,Gold,-0.05,02.06,3.99M,22.99
ST,Technology,Scientific & Technical Instruments,1.15,1.40,1.86M,33.18
STEP,Financial,Asset Management,1.35,2.60,1.20M,46.73
TAP,Consumer Defensive,Beverages - Brewers,0.50,1.31,3.02M,41.40
TDC,Technology,Software - Infrastructure,0.59,1.43,1.82M,26.83
TEM,Healthcare,Health Information Services,4.94,2.96,5.35M,46.96
TENB,Technology,Software - Infrastructure,0.67,01.02,2.47M,19.84
TERN,Healthcare,Biotechnology,-0.32,2.50,2.13M,48.44
TFC,Financial,Banks - Regional,0.89,1.29,9.39M,44.16
TGTX,Healthcare,Biotechnology,1.82,1.50,2.00M,30.07
TNGX,Healthcare,Biotechnology,1.47,01.07,3.26M,19.42
TOST,Technology,Software - Infrastructure,1.91,1.37,11.08M,27.46
TPG,Financial,Asset Management,1.53,2.25,3.52M,40.07
TREX,Industrials,Building Products & Equipment,1.61,1.55,1.98M,35.99
TSCO,Consumer Cyclical,Specialty Retail,0.73,1.46,6.79M,45.77
TTD,Communication Services,Advertising Agencies,1.17,1.78,16.82M,24.11
TTEK,Industrials,Engineering & Construction,0.96,1.45,2.68M,30.40
TVTX,Healthcare,Biotechnology,0.90,1.45,1.99M,26.84
TWST,Healthcare,Diagnostics & Research,2.26,03.04,1.26M,42.07
TXG,Healthcare,Health Information Services,2.24,1.34,2.55M,18.39
U,Technology,Software - Application,2.11,1.56,16.45M,18.39
UEC,Energy,Uranium,1.19,1.15,10.29M,12.09
UPST,Financial,Credit Services,2.16,1.99,5.21M,25.98
USAR,Basic Materials,Other Industrial Metals & Mining,1.15,1.78,18.56M,16.24
UUUU,Energy,Uranium,1.48,1.76,13.32M,16.75
VERA,Healthcare,Biotechnology,1.16,2.34,1.09M,40.53
VG,Energy,Oil & Gas Midstream,03.01,1.19,17.44M,15.81
VIAV,Technology,Communication Equipment,0.87,2.33,4.92M,31.44
VIRT,Financial,Capital Markets,0.59,1.37,1.13M,41.63
VKTX,Healthcare,Biotechnology,0.80,1.93,2.96M,32.33
VNO,Real Estate,REIT - Office,1.52,1.15,1.89M,25.41
VNOM,Energy,Oil & Gas Midstream,0.50,1.28,3.13M,48.09
VNT,Technology,Scientific & Technical Instruments,1.33,1.20,1.12M,35.20
VRDN,Healthcare,Biotechnology,01.02,1.45,1.34M,26.98
VRNS,Technology,Software - Infrastructure,0.63,1.41,3.00M,23.72
VSAT,Technology,Communication Equipment,1.40,3.49,1.67M,46.39
VSCO,Consumer Cyclical,Apparel Retail,2.33,3.40,2.15M,44.86
VSNT,Communication Services,Entertainment,-,1.46,4.43M,36.23
VVV,Consumer Cyclical,Auto & Truck Dealerships,1.20,01.07,1.95M,32.74
VZ,Communication Services,Telecom Services,0.28,01.02,30.63M,49.98
WAY,Healthcare,Health Information Services,0.81,1.17,2.48M,24.07
WHD,Energy,Oil & Gas Equipment & Services,1.34,2.23,1.00M,45.58
WMG,Communication Services,Entertainment,1.31,01.06,2.25M,23.89
WRBY,Healthcare,Medical Instruments & Supplies,02.02,1.73,3.44M,22.69
WULF,Financial,Capital Markets,3.72,1.39,29.52M,15.10
XMTR,Industrials,Industrial Distribution,0.90,3.54,1.03M,39.20
YETI,Consumer Cyclical,Leisure,1.80,1.69,1.50M,35.50
YOU,Technology,Software - Application,1.11,2.10,1.56M,48.12
YSS,Industrials,Aerospace & Defense,-,2.32,1.76M,21.07
Z,Communication Services,Internet Content & Information,2.11,2.51,4.23M,43.95
ZG,Communication Services,Internet Content & Information,02.09,2.36,1.14M,43.53
A,Healthcare,Diagnostics & Research,1.32,3.20,2.19M,111.30
AA,Basic Materials,Aluminum,1.77,4.14,7.57M,56.45
AAOI,Technology,Communication Equipment,3.15,12.16,7.60M,87.54
AAPL,Technology,Consumer Electronics,1.12,5.51,45.44M,247.99
ABBV,Healthcare,Drug Manufacturers - General,0.38,06.09,6.62M,205.07
ABNB,Consumer Cyclical,Travel Services,1.15,4.39,4.53M,128.52
ABT,Healthcare,Medical Devices,0.76,2.42,9.66M,105.46
ACLX,Healthcare,Biotechnology,0.25,1.82,2.14M,114.77
ACM,Industrials,Engineering & Construction,01.06,3.16,1.47M,88.58
ADBE,Technology,Software - Application,1.52,9.88,5.54M,248.15
ADC,Real Estate,REIT - Retail,0.51,1.44,1.30M,76.15
ADI,Technology,Semiconductors,01.06,9.72,3.88M,309.43
ADM,Consumer Defensive,Farm Products,0.67,2.27,3.62M,66.17
ADP,Technology,Software - Application,0.84,5.82,3.12M,208.69
ADSK,Technology,Software - Application,1.43,7.97,2.07M,247.99
AEE,Utilities,Utilities - Regulated Electric,0.54,2.16,1.69M,106.06
AEP,Utilities,Utilities - Regulated Electric,0.58,2.61,3.48M,125.66
AFL,Financial,Insurance - Life,0.66,2.11,2.21M,106.22
AIG,Financial,Insurance - Diversified,0.61,1.75,4.57M,74.39
AJG,Financial,Insurance Brokers,0.70,7.14,2.31M,214.82
AKAM,Technology,Software - Infrastructure,0.64,4.61,3.88M,110.48
ALAB,Technology,Semiconductors,1.53,9.91,4.99M,116.04
ALB,Basic Materials,Specialty Chemicals,1.49,9.34,2.82M,156.70
ALGN,Healthcare,Medical Instruments & Supplies,1.81,7.42,1.21M,173.18
ALL,Financial,Insurance - Property & Casualty,0.23,4.63,1.63M,205.62
ALNY,Healthcare,Biotechnology,0.41,10.40,1.32M,312.17
AMAT,Technology,Semiconductor Equipment & Materials,1.63,15.44,7.17M,357.06
AMD,Technology,Semiconductors,1.98,9.23,35.80M,201.33
AME,Industrials,Specialty Industrial Machinery,01.05,5.34,1.37M,209.37
AMGN,Healthcare,Drug Manufacturers - General,0.46,8.93,2.61M,347.80
AMRZ,Basic Materials,Building Materials,-,1.99,3.34M,52.56
AMT,Real Estate,REIT - Specialty,0.91,05.08,3.05M,176.79
AMZN,Consumer Cyclical,Internet Retail,1.40,5.59,48.04M,205.37
ANET,Technology,Computer Hardware,1.44,5.93,7.61M,131.22
ANF,Consumer Cyclical,Apparel Retail,1.14,4.44,1.65M,87.98
AOS,Industrials,Specialty Industrial Machinery,1.35,1.92,1.33M,64.09
APD,Basic Materials,Specialty Chemicals,0.83,07.07,1.48M,281.01
APH,Technology,Electronic Components,1.25,6.82,9.78M,126.74
APO,Financial,Asset Management,1.58,5.11,4.84M,112.00
APP,Communication Services,Advertising Agencies,2.47,29.48,5.92M,442.39
ARES,Financial,Asset Management,1.55,6.21,3.51M,105.87
ARWR,Healthcare,Biotechnology,1.32,03.04,2.80M,56.33
ASO,Consumer Cyclical,Specialty Retail,1.25,2.67,1.57M,51.98
ASTS,Technology,Communication Equipment,2.76,8.58,15.34M,89.93
ATI,Industrials,Metal Fabrication,0.99,6.50,1.89M,141.80
ATO,Utilities,Utilities - Regulated Gas,0.69,03.09,1.30M,180.49
AVAV,Industrials,Aerospace & Defense,1.31,18.17,1.83M,197.72
AVB,Real Estate,REIT - Residential,0.76,3.78,1.09M,161.37
AVGO,Technology,Semiconductors,1.25,13.37,26.02M,310.51
AVT,Technology,Electronics & Computer Distribution,0.93,1.72,1.10M,58.45
AWK,Utilities,Utilities - Regulated Water,0.74,3.39,1.67M,135.79
AXP,Financial,Credit Services,1.15,8.88,3.45M,295.50
AXTI,Technology,Semiconductor Equipment & Materials,1.56,6.34,8.17M,54.24
BA,Industrials,Aerospace & Defense,1.12,7.63,7.25M,195.12
BAH,Industrials,Consulting Services,0.34,3.10,2.39M,79.95
BALL,Consumer Cyclical,Packaging & Containers,1.14,1.51,2.11M,57.06
BBIO,Healthcare,Biotechnology,1.14,3.40,2.84M,68.54
BBY,Consumer Cyclical,Specialty Retail,1.39,2.33,4.64M,62.80
BDX,Healthcare,Medical Instruments & Supplies,0.29,4.22,2.67M,154.13
BE,Industrials,Electrical Equipment & Parts,3.11,15.02,10.93M,150.12
BG,Consumer Defensive,Farm Products,0.73,4.20,1.70M,118.15
BIIB,Healthcare,Drug Manufacturers - General,0.16,05.08,1.29M,181.46
BJ,Consumer Defensive,Discount Stores,0.34,3.28,1.84M,97.04
BK,Financial,Banks - Diversified,01.08,03.06,3.57M,114.94
BKR,Energy,Oil & Gas Equipment & Services,0.90,1.99,9.45M,60.35
BLDR,Industrials,Building Products & Equipment,1.62,4.54,2.24M,81.22
BMRN,Healthcare,Biotechnology,0.30,2.11,2.22M,54.13
BMY,Healthcare,Drug Manufacturers - General,0.29,1.31,12.86M,57.48
BR,Technology,Information Technology Services,0.99,5.56,1.19M,174.36
BRK-B,Financial,Insurance - Diversified,0.71,7.61,4.70M,480.94
BRO,Financial,Insurance Brokers,0.82,1.90,3.17M,67.05
BROS,Consumer Cyclical,Restaurants,2.52,2.61,4.85M,50.00
BSX,Healthcare,Medical Devices,0.73,02.09,14.24M,69.48
BWA,Consumer Cyclical,Auto Parts,01.07,1.84,2.91M,52.23
BX,Financial,Asset Management,1.76,5.21,6.97M,110.43
BXP,Real Estate,REIT - Office,01.04,1.94,2.50M,52.08
C,Financial,Banks - Diversified,1.11,3.70,14.65M,109.52
CAH,Healthcare,Medical Distribution,0.65,5.52,1.68M,207.83
CAKE,Consumer Cyclical,Restaurants,0.99,2.34,1.36M,57.15
CALM,Consumer Defensive,Farm Products,0.28,2.77,1.19M,78.35
CALX,Technology,Software - Infrastructure,1.53,1.96,1.04M,50.31
CARR,Industrials,Building Products & Equipment,1.30,1.98,7.05M,58.07
CAT,Industrials,Farm & Heavy Construction Machinery,1.54,24.90,2.74M,680.88
CAVA,Consumer Cyclical,Restaurants,1.98,4.37,3.70M,84.27
CBRE,Real Estate,Real Estate Services,1.36,4.96,2.12M,131.99
CCI,Real Estate,REIT - Specialty,0.94,2.44,3.24M,82.36
CCK,Consumer Cyclical,Packaging & Containers,0.74,2.70,1.12M,98.44
CDNS,Technology,Software - Application,01.03,10.18,2.35M,283.90
CDW,Technology,Information Technology Services,01.03,4.39,1.63M,120.27
CE,Basic Materials,Chemicals,0.94,3.54,2.44M,56.95
CEG,Utilities,Utilities - Independent Power Producers,1.12,14.75,3.51M,281.99
CF,Basic Materials,Agricultural Inputs,0.57,6.86,3.48M,124.90
CFG,Financial,Banks - Regional,01.09,1.80,5.12M,57.02
CGON,Healthcare,Biotechnology,0.86,3.38,1.24M,65.08
CHD,Consumer Defensive,Household & Personal Products,0.46,2.14,2.28M,94.69
CHRW,Industrials,Integrated Freight & Logistics,0.91,6.72,2.23M,168.88
CHTR,Communication Services,Telecom Services,01.04,8.41,1.86M,213.01
CI,Healthcare,Healthcare Plans,0.27,7.42,1.65M,262.84
CIEN,Technology,Communication Equipment,1.00,27.69,3.24M,383.89
CL,Consumer Defensive,Household & Personal Products,0.32,02.03,6.66M,85.12
CLX,Consumer Defensive,Household & Personal Products,0.62,3.39,2.16M,106.15
CM,Financial,Banks - Diversified,01.02,02.05,1.22M,94.28
CMC,Industrials,Metal Fabrication,1.47,2.49,1.20M,60.18
CME,Financial,Financial Data & Stock Exchanges,0.25,6.38,2.17M,307.32
CMS,Utilities,Utilities - Regulated Electric,0.43,1.38,2.95M,74.42
COF,Financial,Credit Services,1.16,6.50,5.36M,181.46
COHR,Technology,Scientific & Technical Instruments,1.85,22.65,5.88M,253.63
COIN,Financial,Financial Data & Stock Exchanges,3.57,12.04,11.76M,197.50
COO,Healthcare,Medical Instruments & Supplies,01.08,02.08,2.06M,69.96
COP,Energy,Oil & Gas E&P,0.22,2.99,8.93M,126.92
COR,Healthcare,Medical Distribution,0.69,9.53,1.19M,326.91
COST,Consumer Defensive,Discount Stores,1.00,18.15,2.24M,972.33
CPT,Real Estate,REIT - Residential,0.83,2.34,1.17M,97.36
CRCL,Financial,Capital Markets,-,8.53,14.27M,126.03
CRH,Basic Materials,Building Materials,1.25,3.55,5.12M,100.47
CRM,Technology,Software - Application,1.28,7.85,11.66M,195.38
CROX,Consumer Cyclical,Footwear & Accessories,1.57,3.29,1.28M,75.78
CRWD,Technology,Software - Infrastructure,01.04,19.59,3.62M,409.00
CRWV,Technology,Software - Infrastructure,12.80,6.55,25.28M,81.47
CSCO,Technology,Communication Equipment,0.82,02.02,22.01M,77.65
CTAS,Industrials,Specialty Business Services,0.97,5.36,1.90M,179.34
CTSH,Technology,Information Technology Services,0.98,2.25,6.33M,62.07
CTVA,Basic Materials,Agricultural Inputs,0.72,1.79,3.82M,77.33
